VNA:  37397C
 
MODEL:                       DATE:     11/06/2014  19:21        PAGE 1
DEVICE ID:                   OPERATOR:  
START:      4.600000000 GHz  GATE START:       -        ERROR CORR: NONE       
STOP:       4.660000000 GHz  GATE STOP:        -        AVERAGING:   1 PT 
STEP:       0.000037500 GHz  GATE:             -        IF BNDWDTH: 10 Hz 
                             WINDOW:           - 
                      ---CH1--- 
PARAMETER:              -S21-  
NORMALIZATION:      DATA & MEMORY 
REFERENCE PLANE:         0.0000mm 
SMOOTHING:           0.0 PERCENT 
DELAY APERTURE:           - 
MARKERS: 
MKR     FREQ          MAGNITUDE 
#       GHz              dB 
1     4.619987500     -56.093     
FREQUENCY POINTS: 
PNT     FREQ          MAGNITUDE 
#       GHz              dB 
1      4.600000000    -29.128     
2      4.600037500    -28.015     
3      4.600075000    -28.195     
4      4.600112500    -28.230     
5      4.600150000    -29.798     
6      4.600187500    -29.700     
7      4.600225000    -27.774     
8      4.600262500    -31.252     
9      4.600300000    -30.828     
10     4.600337500    -28.472     
11     4.600375000    -33.088     
12     4.600412500    -29.511     
13     4.600450000    -29.149     
14     4.600487500    -30.262     
15     4.600525000    -30.579     
16     4.600562500    -31.217     
17     4.600600000    -29.639     
18     4.600637500    -29.247     
19     4.600675000    -31.813     
20     4.600712500    -30.822     
21     4.600750000    -30.583     
22     4.600787500    -30.914     
23     4.600825000    -29.804     
24     4.600862500    -31.346     
25     4.600900000    -30.652     
26     4.600937500    -32.088     
27     4.600975000    -30.501     
28     4.601012500    -29.638     
29     4.601050000    -30.464     
30     4.601087500    -28.148     
31     4.601125000    -28.151     
32     4.601162500    -30.552     
33     4.601200000    -29.782     
34     4.601237500    -27.976     
35     4.601275000    -32.580     
36     4.601312500    -32.046     
37     4.601350000    -31.466     
38     4.601387500    -29.605     
39     4.601425000    -29.612     
40     4.601462500    -31.535     
41     4.601500000    -31.845     
42     4.601537500    -29.345     
43     4.601575000    -31.798     
44     4.601612500    -28.826     
45     4.601650000    -29.287     
46     4.601687500    -32.056     
47     4.601725000    -32.679     
48     4.601762500    -30.516     
49     4.601800000    -29.334     
50     4.601837500    -30.541     
51     4.601875000    -33.745     
52     4.601912500    -31.421     
53     4.601950000    -30.745     
54     4.601987500    -31.468     
55     4.602025000    -28.920     
56     4.602062500    -28.903     
57     4.602100000    -28.607     
58     4.602137500    -29.828     
59     4.602175000    -30.720     
60     4.602212500    -28.856     
61     4.602250000    -29.677     
62     4.602287500    -29.198     
63     4.602325000    -29.502     
64     4.602362500    -29.180     
65     4.602400000    -30.750     
66     4.602437500    -28.525     
67     4.602475000    -30.413     
68     4.602512500    -28.264     
69     4.602550000    -31.726     
70     4.602587500    -31.368     
71     4.602625000    -29.225     
72     4.602662500    -29.158     
73     4.602700000    -30.968     
74     4.602737500    -28.306     
75     4.602775000    -28.157     
76     4.602812500    -30.085     
77     4.602850000    -30.968     
78     4.602887500    -32.552     
79     4.602925000    -30.284     
80     4.602962500    -27.730     
81     4.603000000    -30.508     
82     4.603037500    -31.724     
83     4.603075000    -29.703     
84     4.603112500    -33.070     
85     4.603150000    -32.504     
86     4.603187500    -30.957     
87     4.603225000    -31.693     
88     4.603262500    -31.632     
89     4.603300000    -30.378     
90     4.603337500    -30.119     
91     4.603375000    -30.461     
92     4.603412500    -30.985     
93     4.603450000    -29.623     
94     4.603487500    -32.051     
95     4.603525000    -32.105     
96     4.603562500    -32.863     
97     4.603600000    -29.224     
98     4.603637500    -28.307     
99     4.603675000    -32.067     
100    4.603712500    -31.684     
101    4.603750000    -31.504     
102    4.603787500    -33.755     
103    4.603825000    -30.081     
104    4.603862500    -30.556     
105    4.603900000    -32.581     
106    4.603937500    -30.189     
107    4.603975000    -32.196     
108    4.604012500    -30.668     
109    4.604050000    -32.953     
110    4.604087500    -31.820     
111    4.604125000    -28.901     
112    4.604162500    -31.059     
113    4.604200000    -31.703     
114    4.604237500    -31.851     
115    4.604275000    -30.987     
116    4.604312500    -28.979     
117    4.604350000    -31.929     
118    4.604387500    -31.242     
119    4.604425000    -32.452     
120    4.604462500    -32.698     
121    4.604500000    -30.671     
122    4.604537500    -33.102     
123    4.604575000    -32.152     
124    4.604612500    -31.153     
125    4.604650000    -31.646     
126    4.604687500    -32.595     
127    4.604725000    -30.736     
128    4.604762500    -30.570     
129    4.604800000    -32.807     
130    4.604837500    -30.724     
131    4.604875000    -29.485     
132    4.604912500    -33.751     
133    4.604950000    -31.776     
134    4.604987500    -30.172     
135    4.605025000    -31.160     
136    4.605062500    -32.686     
137    4.605100000    -30.845     
138    4.605137500    -30.989     
139    4.605175000    -30.573     
140    4.605212500    -33.297     
141    4.605250000    -29.560     
142    4.605287500    -32.704     
143    4.605325000    -29.431     
144    4.605362500    -36.291     
145    4.605400000    -30.648     
146    4.605437500    -32.729     
147    4.605475000    -29.677     
148    4.605512500    -32.134     
149    4.605550000    -31.177     
150    4.605587500    -30.762     
151    4.605625000    -32.982     
152    4.605662500    -34.159     
153    4.605700000    -30.738     
154    4.605737500    -30.978     
