VNA:  37397C
 
MODEL:                       DATE:     11/06/2014  19:15        PAGE 1
DEVICE ID:                   OPERATOR:  
START:      4.600000000 GHz  GATE START:       -        ERROR CORR: NONE       
STOP:       4.660000000 GHz  GATE STOP:        -        AVERAGING:   1 PT 
STEP:       0.000037500 GHz  GATE:             -        IF BNDWDTH: 10 Hz 
                             WINDOW:           - 
                      ---CH1--- 
PARAMETER:              -S21-  
NORMALIZATION:      DATA & MEMORY 
REFERENCE PLANE:         0.0000mm 
SMOOTHING:           0.0 PERCENT 
DELAY APERTURE:           - 
MARKERS: 
MKR     FREQ          MAGNITUDE 
#       GHz              dB 
1     4.619987500     -33.450     
FREQUENCY POINTS: 
PNT     FREQ          MAGNITUDE 
#       GHz              dB 
202    4.607537500    -40.611     
203    4.607575000    -32.231     
204    4.607612500    -32.399     
205    4.607650000    -35.179     
206    4.607687500    -36.548     
207    4.607725000    -33.967     
208    4.607762500    -37.980     
209    4.607800000    -36.884     
210    4.607837500    -32.130     
211    4.607875000    -39.362     
212    4.607912500    -34.055     
213    4.607950000    -30.298     
214    4.607987500    -33.153     
215    4.608025000    -32.487     
216    4.608062500    -29.769     
217    4.608100000    -35.087     
218    4.608137500    -35.081     
219    4.608175000    -36.075     
220    4.608212500    -35.370     
221    4.608250000    -31.990     
222    4.608287500    -33.087     
223    4.608325000    -35.913     
224    4.608362500    -34.849     
225    4.608400000    -33.273     
226    4.608437500    -33.451     
227    4.608475000    -33.935     
228    4.608512500    -34.556     
229    4.608550000    -32.730     
230    4.608587500    -39.099     
231    4.608625000    -32.122     
232    4.608662500    -35.029     
233    4.608700000    -32.356     
234    4.608737500    -34.232     
235    4.608775000    -35.123     
236    4.608812500    -34.832     
237    4.608850000    -36.172     
238    4.608887500    -39.606     
239    4.608925000    -35.967     
240    4.608962500    -35.552     
241    4.609000000    -37.405     
242    4.609037500    -33.210     
243    4.609075000    -34.922     
244    4.609112500    -32.995     
245    4.609150000    -32.822     
246    4.609187500    -33.661     
247    4.609225000    -37.706     
248    4.609262500    -34.407     
249    4.609300000    -37.104     
250    4.609337500    -44.875     
251    4.609375000    -35.210     
252    4.609412500    -38.554     
253    4.609450000    -35.034     
254    4.609487500    -34.929     
255    4.609525000    -39.866     
256    4.609562500    -36.447     
257    4.609600000    -34.018     
258    4.609637500    -37.046     
259    4.609675000    -34.987     
260    4.609712500    -34.291     
261    4.609750000    -35.365     
262    4.609787500    -36.545     
263    4.609825000    -38.015     
264    4.609862500    -35.953     
265    4.609900000    -43.219     
266    4.609937500    -39.650     
267    4.609975000    -37.712     
268    4.610012500    -37.173     
269    4.610050000    -36.635     
270    4.610087500    -34.219     
271    4.610125000    -39.646     
272    4.610162500    -37.450     
273    4.610200000    -33.305     
274    4.610237500    -35.324     
275    4.610275000    -35.509     
276    4.610312500    -34.222     
277    4.610350000    -34.241     
278    4.610387500    -38.261     
279    4.610425000    -34.548     
280    4.610462500    -34.749     
281    4.610500000    -37.512     
282    4.610537500    -32.775     
283    4.610575000    -40.762     
284    4.610612500    -35.763     
285    4.610650000    -32.680     
286    4.610687500    -34.085     
287    4.610725000    -36.208     
288    4.610762500    -48.282     
289    4.610800000    -36.339     
290    4.610837500    -37.408     
291    4.610875000    -35.288     
292    4.610912500    -39.920     
293    4.610950000    -35.128     
294    4.610987500    -40.504     
295    4.611025000    -43.565     
296    4.611062500    -34.242     
297    4.611100000    -38.459     
298    4.611137500    -36.928     
299    4.611175000    -35.550     
300    4.611212500    -38.011     
301    4.611250000    -30.580     
302    4.611287500    -36.118     
303    4.611325000    -38.522     
304    4.611362500    -34.823     
305    4.611400000    -34.792     
306    4.611437500    -35.587     
307    4.611475000    -35.011     
308    4.611512500    -34.724     
309    4.611550000    -40.803     
310    4.611587500    -41.974     
311    4.611625000    -39.471     
312    4.611662500    -35.835     
313    4.611700000    -37.726     
314    4.611737500    -38.082     
315    4.611775000    -43.292     
316    4.611812500    -36.879     
317    4.611850000    -33.829     
318    4.611887500    -40.670     
319    4.611925000    -41.988     
320    4.611962500    -36.873     
321    4.612000000    -41.484     
322    4.612037500    -37.961     
323    4.612075000    -33.112     
324    4.612112500    -36.539     
325    4.612150000    -35.082     
326    4.612187500    -37.424     
327    4.612225000    -42.579     
328    4.612262500    -38.128     
329    4.612300000    -37.319     
330    4.612337500    -36.810     
331    4.612375000    -36.610     
332    4.612412500    -34.265     
333    4.612450000    -34.320     
334    4.612487500    -35.369     
335    4.612525000    -42.137     
336    4.612562500    -34.971     
337    4.612600000    -35.332     
338    4.612637500    -40.425     
339    4.612675000    -36.786     
340    4.612712500    -42.995     
341    4.612750000    -34.370     
342    4.612787500    -39.071     
343    4.612825000    -38.463     
344    4.612862500    -40.233     
345    4.612900000    -38.782     
346    4.612937500    -40.155     
347    4.612975000    -41.534     
348    4.613012500    -41.329     
349    4.613050000    -45.813     
350    4.613087500    -32.996     
351    4.613125000    -49.842     
352    4.613162500    -35.914     
353    4.613200000    -53.443     
354    4.613237500    -46.493     
355    4.613275000    -37.071     
356    4.613312500    -36.745     
357    4.613350000    -36.722     
358    4.613387500    -37.828     
359    4.613425000    -47.497     
360    4.613462500    -34.876     
361    4.613500000    -39.376     
362    4.613537500    -38.998     
363    4.613575000    -38.853     
364    4.613612500    -36.363     
365    4.613650000    -38.438     
366    4.613687500    -35.413     
367    4.613725000    -44.212     
368    4.613762500    -41.297     
369    4.613800000    -34.664     
370    4.613837500    -45.736     
371    4.613875000    -44.536     
372    4.613912500    -43.148     
373    4.613950000    -39.018     
374    4.613987500    -41.997     
375    4.614025000    -37.153     
376    4.614062500    -40.441     
377    4.614100000    -65.261     
378    4.614137500    -42.384     
379    4.614175000    -47.804     
380    4.614212500    -38.759     
381    4.614250000    -40.350     
382    4.614287500    -40.004     
383    4.614325000    -39.901     
384    4.614362500    -51.213     
385    4.614400000    -39.963     
386    4.614437500    -36.314     
387    4.614475000    -42.887     
388    4.614512500    -47.599     
389    4.614550000    -44.245     
390    4.614587500    -40.828     
391    4.614625000    -40.284     
392    4.614662500    -39.674     
393    4.614700000    -40.838     
394    4.614737500    -38.582     
395    4.614775000    -40.499     
396    4.614812500    -39.730     
397    4.614850000    -66.824     
398    4.614887500    -44.865     
399    4.614925000    -41.348     
400    4.614962500    -38.854     
401    4.615000000    -41.731     
402    4.615037500    -51.342     
403    4.615075000    -41.186     
404    4.615112500    -59.458     
405    4.615150000    -55.431     
406    4.615187500    -44.245     
407    4.615225000    -46.007     
408    4.615262500    -42.875     
409    4.615300000    -46.410     
410    4.615337500    -54.631     
411    4.615375000    -44.473     
412    4.615412500    -47.288     
413    4.615450000    -45.679     
414    4.615487500    -46.948     
415    4.615525000    -44.059     
416    4.615562500    -41.452     
417    4.615600000    -43.528     
418    4.615637500    -41.326     
419    4.615675000    -40.059     
420    4.615712500    -45.946     
421    4.615750000    -50.232     
422    4.615787500    -46.162     
423    4.615825000    -42.653     
424    4.615862500    -40.397     
425    4.615900000    -49.003     
426    4.615937500    -41.627     
427    4.615975000    -50.723     
428    4.616012500    -44.130     
429    4.616050000    -40.221     
430    4.616087500    -50.903     
431    4.616125000    -48.286     
432    4.616162500    -52.645     
433    4.616200000    -42.800     
434    4.616237500    -45.482     
435    4.616275000    -48.233     
436    4.616312500    -41.106     
437    4.616350000    -39.662     
438    4.616387500    -41.751     
439    4.616425000    -45.269     
440    4.616462500    -49.853     
441    4.616500000    -44.481     
442    4.616537500    -37.409     
443    4.616575000    -41.293     
444    4.616612500    -46.089     
445    4.616650000    -48.105     
446    4.616687500    -44.984     
447    4.616725000    -37.191     
448    4.616762500    -38.423     
449    4.616800000    -36.373     
450    4.616837500    -40.923     
451    4.616875000    -55.373     
452    4.616912500    -44.011     
453    4.616950000    -52.930     
454    4.616987500    -53.672     
455    4.617025000    -36.162     
456    4.617062500    -53.488     
457    4.617100000    -43.893     
458    4.617137500    -49.866     
459    4.617175000    -41.284     
460    4.617212500    -38.773     
461    4.617250000    -44.105     
462    4.617287500    -50.702     
463    4.617325000    -42.575     
464    4.617362500    -38.930     
465    4.617400000    -45.657     
466    4.617437500    -41.707     
467    4.617475000    -53.064     
468    4.617512500    -38.054     
469    4.617550000    -41.629     
470    4.617587500    -48.834     
471    4.617625000    -42.479     
472    4.617662500    -36.714     
473    4.617700000    -40.337     
474    4.617737500    -40.309     
